Kyle Krstulich
2023-03-30
CSCI151
output.txt


2022 Drafts

Team                    Draft round         Draft rank          Name                Position            Touchdowns          College             Games played        
TAM                     3                    91                   Rachaad White        RB                   3                    Arizona St.          17                   
TAM                     4                    106                  Cade Otton           TE                   2                    Washington           16                   
TAM                     4                    133                  Jake Camarda         P                    0                    Georgia              17                   
TAM                     5                    157                  Zyon McCollum        DB                   0                    Sam Houston St.      13                   
TAM                     6                    218                  Ko Kieft             TE                   1                    Minnesota            17                   
TAM                     7                    248                  Andre Anthony        DE                   0                    LSU                  0                    
CHI                     2                    39                   Kyler Gordon         CB                   0                    Washington           14                   
CHI                     2                    48                   Jaquan Brisker       SAF                  0                    Penn St.             15                   
CHI                     3                    71                   Velus Jones Jr.      WR                   2                    Tennessee            12                   
CHI                     5                    168                  Braxton Jones        OL                   0                    Southern Utah        17                   
CHI                     5                    174                  Dominique Robinson   DE                   0                    Miami (OH)           17                   
CHI                     6                    186                  Zachary Thomas       OL                   0                    San Diego St.        1                    
CHI                     6                    203                  Trestan Ebner        RB                   0                    Baylor               17                   
CHI                     6                    207                  Doug Kramer          OL                   0                    Illinois             0                    
CHI                     7                    226                  Ja'Tyre Carter       OL                   0                    Southern             3                    
CHI                     7                    254                  Elijah Hicks         SAF                  0                    California           15                   
CHI                     7                    255                  Trenton Gill         P                    0                    North Carolina St.   17                   
IND                     2                    53                   Alec Pierce          WR                   2                    Cincinnati           16                   
IND                     3                    73                   Jelani Woods         TE                   3                    Virginia             15                   
IND                     3                    77                   Bernhard Raimann     OL                   0                    Central Michigan     16                   
IND                     3                    96                   Nick Cross           DB                   0                    Maryland             16                   
IND                     5                    159                  Eric Johnson         DT                   0                    Missouri State       14                   
IND                     6                    192                  Andrew Ogletree      TE                   0                    Youngstown St.       0                    
IND                     6                    216                  Curtis Brooks        DT                   0                    Cincinnati           0                    
IND                     7                    239                  Rodney Thomas II     LB                   0                    Yale                 17                   
ARI                     2                    55                   Trey McBride         TE                   1                    Colorado St.         16                   
ARI                     3                    87                   Cameron Thomas       DE                   0                    San Diego St.        17                   
ARI                     3                    100                  Myjai Sanders        DE                   0                    Cincinnati           13                   
ARI                     6                    201                  Keaontay Ingram      RB                   1                    USC                  12                   
ARI                     6                    215                  Lecitus Smith        OL                   0                    Virginia Tech        10                   
ARI                     7                    244                  Christian Matthew    DB                   0                    Valdosta St.         14                   
ARI                     7                    256                  Jesse Luketa         LB                   0                    Penn St.             7                    
ARI                     7                    257                  Marquis Hayes        OL                   0                    Oklahoma             0                    
SFO                     2                    61                   Drake Jackson        OLB                  0                    USC                  15                   
SFO                     3                    93                   Tyrion Davis-Price   RB                   0                    LSU                  6                    
SFO                     3                    105                  Danny Gray           WR                   0                    SMU                  13                   
SFO                     4                    134                  Spencer Burford      OL                   0                    Texas-San Antonio    16                   
SFO                     5                    172                  Samuel Womack        CB                   0                    Toledo               16                   
SFO                     6                    187                  Nick Zakelj          OL                   0                    Fordham              5                    
SFO                     6                    220                  Kalia Davis          DT                   0                    Central Florida      0                    
SFO                     6                    221                  Tariq Castro-Fields  CB                   0                    Penn St.             2                    
SFO                     7                    262                  Brock Purdy          QB                   14                   Iowa St.             9                    
DEN                     2                    64                   Nik Bonitto          OLB                  0                    Oklahoma             15                   
DEN                     3                    80                   Greg Dulcich         TE                   2                    UCLA                 10                   
DEN                     4                    115                  Damarri Mathis       DB                   0                    Pittsburgh           16                   
DEN                     4                    116                  Eyioma Uwazurike     DE                   0                    Iowa St.             8                    
DEN                     5                    152                  Delarrin Turner-Yell SAF                  0                    Oklahoma             14                   
DEN                     5                    162                  Montrell Washington  WR                   0                    Samford              15                   
DEN                     5                    171                  Luke Wattenberg      OL                   0                    Washington           7                    
DEN                     6                    206                  Matt Henningsen      DE                   0                    Wisconsin            17                   
DEN                     7                    232                  Faion Hicks          CB                   0                    Wisconsin            2                    
CLE                     3                    68                   Martin Emerson       CB                   0                    Mississippi St.      17                   
CLE                     3                    78                   Alex Wright          DE                   0                    Ala-Birmingham       17                   
CLE                     3                    99                   David Bell           WR                   0                    Purdue               16                   
CLE                     4                    108                  Perrion Winfrey      DT                   0                    Oklahoma             13                   
CLE                     4                    124                  Cade York            K                    0                    LSU                  17                   
CLE                     5                    156                  Jerome Ford          RB                   0                    Cincinnati           13                   
CLE                     6                    202                  Michael Woods II     WR                   0                    Oklahoma             10                   
CLE                     7                    223                  Isaiah Thomas        DE                   0                    Oklahoma             10                   
CLE                     7                    246                  Dawson Deaton        OL                   0                    Texas Tech           0                    
LVR                     3                    90                   Dylan Parham         OL                   0                    Memphis              17                   
LVR                     4                    122                  Zamir White          RB                   0                    Georgia              14                   
LVR                     4                    126                  Neil Farrell         DT                   0                    LSU                  9                    
LVR                     5                    175                  Matthew Butler       DT                   0                    Tennessee            6                    
LVR                     7                    238                  Thayer Munford       OL                   0                    Ohio St.             17                   
LVR                     7                    250                  Brittain Brown       RB                   0                    UCLA                 6                    
MIA                     3                    102                  Channing Tindall     LB                   0                    Georgia              16                   
MIA                     4                    125                  Erik Ezukanma        WR                   0                    Texas Tech           1                    
MIA                     7                    224                  Cameron Goode        OLB                  0                    California           0                    
MIA                     7                    247                  Skylar Thompson      QB                   1                    Kansas St.           7                    
LAR                     3                    104                  Logan Bruss          OL                   0                    Wisconsin            0                    
LAR                     4                    142                  Cobie Durant         DB                   0                    South Carolina St.   13                   
LAR                     5                    164                  Kyren Williams       RB                   0                    Notre Dame           10                   
LAR                     6                    211                  Quentin Lake         DB                   0                    UCLA                 9                    
LAR                     6                    212                  Derion Kendrick      DB                   0                    Georgia              15                   
LAR                     7                    235                  Daniel Hardy         LB                   0                    Montana St.          6                    
LAR                     7                    253                  Russ Yeast           DB                   0                    Kansas St.           15                   
LAR                     7                    261                  AJ Arcuri            OT                   0                    Michigan St.         8                    

